2.513274e-02	2.429794e+00	1.086637e+00
3.820577e-02	3.167065e+00	9.142530e-01
5.725007e-02	4.986749e+00	8.680816e-01
7.778031e-02	9.678935e+00	1.329504e+00
1.016380e-01	1.518747e+01	1.358409e+00
1.347107e-01	2.620457e+01	1.538785e+00
1.815186e-01	1.806070e+01	6.648237e-01
2.444601e-01	1.192163e+01	2.875396e-01
3.299734e-01	1.019798e+01	1.559718e-01
4.460977e-01	9.450606e+00	9.262630e-02
6.021986e-01	8.986878e+00	5.647881e-02
8.131821e-01	8.772467e+00	3.516845e-02
1.097917e+00	8.841302e+00	2.266725e-02
1.480195e+00	1.070653e+01	1.762013e-02
1.920623e+00	1.473824e+01	2.337601e-02
2.388536e+00	2.190827e+01	1.083360e-01
