2.513274e-02	8.562724e+00	3.829367e+00
3.820577e-02	6.361413e+00	1.836382e+00
5.725007e-02	1.416656e+01	2.466082e+00
7.778031e-02	2.623544e+01	3.603715e+00
1.016380e-01	4.170086e+01	3.729838e+00
1.347107e-01	5.371109e+01	3.154024e+00
1.815186e-01	4.377234e+01	1.611282e+00
2.444601e-01	3.524054e+01	8.499719e-01
3.299734e-01	3.467680e+01	5.303603e-01
4.460977e-01	3.504898e+01	3.435184e-01
6.021986e-01	3.690957e+01	2.319614e-01
8.131821e-01	3.815811e+01	1.529742e-01
1.097917e+00	3.985116e+01	1.021700e-01
1.480195e+00	4.766935e+01	7.845119e-02
1.920623e+00	6.329775e+01	1.003953e-01
2.388536e+00	9.244046e+01	4.571166e-01
