2.513274e-02	1.643040e-01	7.347899e-02
3.820577e-02	4.624903e-01	1.335095e-01
5.725007e-02	2.062026e+00	3.589526e-01
7.778031e-02	3.062325e+00	4.206427e-01
1.016380e-01	4.838759e+00	4.327917e-01
1.347107e-01	9.393612e+00	5.516119e-01
1.815186e-01	1.539751e+01	5.667903e-01
2.444601e-01	2.096808e+01	5.057324e-01
3.299734e-01	3.009831e+01	4.603350e-01
4.460977e-01	3.768288e+01	3.693335e-01
6.021986e-01	4.521710e+01	2.841708e-01
8.131821e-01	4.983152e+01	1.997725e-01
1.097917e+00	5.177423e+01	1.327383e-01
1.480195e+00	5.919381e+01	9.741743e-02
1.920623e+00	7.230564e+01	1.146825e-01
2.388536e+00	9.799297e+01	4.845737e-01
